red,green,blue
59052,59722,59832
59053,59907,60003
59054,60066,60234
59459,60220,60467
59860,60377,60699
60188,60542,60923
60458,60750,61121
60684,60987,61282
60847,61208,61404
60925,61372,61488
60926,61436,61524
60927,61437,61527
60928,61438,61528
60929,61439,61548
60930,61514,61608
60931,61623,61692
60958,61733,61778
61016,61818,61846
61017,61819,61847
61018,61820,61848
61019,61821,61849
61020,61822,61850
61223,61823,61851
61955,62345,62453
62657,63076,63179
62978,63335,63412
63030,63336,63413
63058,63337,63414
63069,63338,63415
63070,63339,63416
63071,63340,63417
63072,63341,63418
63073,63342,63419
63074,63343,63420
63227,63344,63421
63776,63428,63422
64382,63944,63764
64830,64311,64199
65108,64557,64563
65314,64780,64919
65442,64954,65243
65486,65052,65515
65487,65085,65535
65488,65095,65535
65489,65108,65535
65490,65149,65535
65491,65225,65535
65492,65314,65535
65493,65398,65535
65494,65461,65535
65495,65502,0
65527,65528,65503
65534,65534,65534
65535,65535,65535
